class,precision,recall,f1-score,support
aphanizomenon,0.868421052631579,1.0,0.9295774647887324,33.0
asplanchna,0.9901960784313726,0.9805825242718447,0.9853658536585366,103.0
asterionella,0.9738562091503268,0.9675324675324676,0.9706840390879479,154.0
bosmina,0.8235294117647058,0.9333333333333333,0.875,15.0
brachionus,0.76,0.8260869565217391,0.7916666666666666,23.0
ceratium,0.9689922480620154,0.9920634920634921,0.9803921568627451,126.0
chaoborus,0.0,0.0,0.0,1.0
conochilus,0.9411764705882353,0.9696969696969697,0.9552238805970149,33.0
copepod_skins,0.75,1.0,0.8571428571428571,3.0
cyclops,0.8571428571428571,0.9448818897637795,0.898876404494382,127.0
daphnia,0.968421052631579,0.9292929292929293,0.9484536082474226,99.0
daphnia_skins,1.0,1.0,1.0,2.0
diaphanosoma,0.9751552795031055,0.9874213836477987,0.98125,159.0
diatom_chain,0.0,0.0,0.0,2.0
dinobryon,0.982421875,0.9862745098039216,0.9843444227005871,510.0
dirt,0.45454545454545453,0.2777777777777778,0.3448275862068966,18.0
eudiaptomus,0.9130434782608695,0.7241379310344828,0.8076923076923077,87.0
filament,0.8656716417910447,0.90625,0.8854961832061069,64.0
fish,0.8285714285714286,1.0,0.90625,29.0
fragilaria,1.0,0.9285714285714286,0.9629629629629629,56.0
hydra,0.0,0.0,0.0,2.0
kellicottia,0.9746835443037974,0.9746835443037974,0.9746835443037974,79.0
keratella_cochlearis,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
keratella_quadrata,0.9558823529411765,0.9285714285714286,0.9420289855072463,70.0
leptodora,0.875,0.8076923076923077,0.84,26.0
maybe_cyano,0.961352657004831,0.9851485148514851,0.9731051344743277,202.0
nauplius,0.9774774774774775,0.9774774774774775,0.9774774774774775,222.0
paradileptus,0.971830985915493,0.9583333333333334,0.965034965034965,72.0
polyarthra,0.6363636363636364,0.7,0.6666666666666666,10.0
rotifers,0.8627450980392157,0.88,0.8712871287128713,100.0
synchaeta,0.9090909090909091,0.8695652173913043,0.8888888888888888,23.0
trichocerca,0.8913043478260869,0.9318181818181818,0.9111111111111111,44.0
unknown,0.5833333333333334,0.5384615384615384,0.56,26.0
unknown_plankton,0.16666666666666666,0.09090909090909091,0.11764705882352941,11.0
uroglena,0.9863945578231292,1.0,0.9931506849315068,145.0
accuracy,0.9420289855072463,0.9420289855072463,0.9420289855072463,0.9420289855072463
macro avg,0.7887600982341045,0.7979970731844356,0.7908463249594538,2691.0
weighted avg,0.9388105673395091,0.9420289855072463,0.9394558831718605,2691.0
