class,precision,recall,f1-score,support
aphanizomenon,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
asplanchna,0.9805825242718447,0.9805825242718447,0.9805825242718447,103.0
asterionella,0.9671052631578947,0.9545454545454546,0.9607843137254902,154.0
bosmina,1.0,0.8666666666666667,0.9285714285714286,15.0
brachionus,0.88,0.9565217391304348,0.9166666666666666,23.0
ceratium,0.946969696969697,0.9920634920634921,0.9689922480620154,126.0
chaoborus,1.0,1.0,1.0,1.0
conochilus,1.0,1.0,1.0,33.0
copepod_skins,0.42857142857142855,1.0,0.6,3.0
cyclops,0.9022556390977443,0.9448818897637795,0.9230769230769231,127.0
daphnia,0.9894736842105263,0.9494949494949495,0.9690721649484536,99.0
daphnia_skins,1.0,1.0,1.0,2.0
diaphanosoma,0.9751552795031055,0.9874213836477987,0.98125,159.0
diatom_chain,0.6666666666666666,1.0,0.8,2.0
dinobryon,0.9767441860465116,0.9882352941176471,0.9824561403508771,510.0
dirt,0.875,0.3888888888888889,0.5384615384615384,18.0
eudiaptomus,0.9125,0.8390804597701149,0.874251497005988,87.0
filament,0.9523809523809523,0.9375,0.9448818897637795,64.0
fish,0.9666666666666667,1.0,0.9830508474576272,29.0
fragilaria,1.0,0.9821428571428571,0.990990990990991,56.0
hydra,0.5,0.5,0.5,2.0
kellicottia,0.9382716049382716,0.9620253164556962,0.95,79.0
keratella_cochlearis,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
keratella_quadrata,0.9411764705882353,0.9142857142857143,0.927536231884058,70.0
leptodora,0.9583333333333334,0.8846153846153846,0.92,26.0
maybe_cyano,0.9660194174757282,0.9851485148514851,0.9754901960784313,202.0
nauplius,0.9819004524886877,0.9774774774774775,0.9796839729119639,222.0
paradileptus,0.9859154929577465,0.9722222222222222,0.9790209790209791,72.0
polyarthra,0.6,0.3,0.4,10.0
rotifers,0.8598130841121495,0.92,0.8888888888888888,100.0
synchaeta,0.9166666666666666,0.9565217391304348,0.9361702127659575,23.0
trichocerca,0.8695652173913043,0.9090909090909091,0.8888888888888888,44.0
unknown,0.6521739130434783,0.5769230769230769,0.6122448979591837,26.0
unknown_plankton,0.14285714285714285,0.09090909090909091,0.1111111111111111,11.0
uroglena,0.9931506849315068,1.0,0.9965635738831615,145.0
accuracy,0.9513192121887774,0.9513192121887774,0.9513192121887774,0.9513192121887774
macro avg,0.8723421735539398,0.8720944471864578,0.8632785352230529,2691.0
weighted avg,0.9501504143757461,0.9513192121887774,0.949474075589396,2691.0
